Date,Open,High,Low,Close,Adj Close,Volume
2000-03-22,25.71875,25.96875,25.03125,25.71875,12.989589,11186200
2000-03-23,26.125,27.09375,25.5625,27.09375,13.684048,15425400
2000-03-24,26.96875,27.59375,26.625,27.3125,13.794528,16576200
2000-03-27,27.25,27.5,26.59375,27.0625,13.668263,10686800
2000-03-28,26.3125,27.34375,26.3125,26.78125,13.526215,10733000
2000-03-29,26.5,26.5625,25.9375,26,13.131638,11628600
2000-03-30,26.125,26.21875,25.21875,25.40625,12.831755,10390200
2000-03-31,25.5,26.625,25.3125,26.21875,13.242116,10241800
2000-04-03,26.03125,27.78125,26.03125,27.75,14.015497,17099000
2000-04-04,27.8125,28.28125,26.65625,27.09375,13.684048,18461600
2000-04-05,26.96875,27.625,26.8125,27,13.636699,9186800
2000-04-06,27.125,27.28125,26.5,26.71875,13.494648,8071000
2000-04-07,26.53125,26.90625,26,26.15625,13.210551,7752800
2000-04-10,26.15625,26.9375,26.0625,26.40625,13.336822,10295200
2000-04-11,26.375,26.6875,25.90625,26.171875,13.218442,7588600
2000-04-12,26.5625,28,26.5625,27.28125,13.77875,15690000
2000-04-13,27.3125,27.625,26.28125,26.40625,13.336822,12167000
2000-04-14,25.9375,25.9375,24.3125,24.96875,12.610783,19890400
2000-04-17,24.96875,25.5,24.0625,25.15625,12.705489,13947400
2000-04-18,25.5,25.59375,24.875,25.5,12.879107,11306400
2000-04-19,25.46875,25.46875,24.46875,24.71875,12.484526,7913600
2000-04-20,25.0625,25.09375,24.71875,24.78125,12.516095,6438400
2000-04-24,24.78125,25.75,24.6875,25.75,13.005377,8713600
2000-04-25,25.53125,26.84375,25.5,26.71875,13.494648,9767800
2000-04-26,26.34375,26.46875,25.59375,25.875,13.068507,7742400
2000-04-27,25.25,25.8125,25.03125,25.625,12.942237,8961400
2000-04-28,25.5625,25.6875,24.1875,24.5,12.374043,13831200
2000-05-01,24.53125,25.46875,24.15625,25,12.626576,9424800
2000-05-02,24.65625,25.46875,24.65625,24.8125,12.531878,8853400
2000-05-03,24.8125,25.40625,24.15625,24.5,12.374043,7772200
2000-05-04,24.34375,24.46875,23.84375,24,12.121511,10026400
2000-05-05,23.625,24.28125,23.5625,23.78125,12.011029,8272200
2000-05-08,23.59375,24.40625,23.59375,24.09375,12.168859,9454400
2000-05-09,24.25,24.84375,23.8125,24.09375,12.168859,9627400
2000-05-10,23.96875,24.21875,23.1875,23.25,11.742716,13484400
2000-05-11,23.875,23.96875,23.28125,23.6875,11.963675,13535600
2000-05-12,23.6875,24.46875,23.15625,24.296875,12.271449,11749800
2000-05-15,24.3125,25.4375,24.28125,25.3125,12.784408,10759200
2000-05-16,25.46875,25.8125,24.59375,24.84375,12.547653,10708400
2000-05-17,24.53125,24.90625,24.28125,24.65625,12.452956,6094800
2000-05-18,24.6875,25.40625,24.65625,25.15625,12.705489,9306600
2000-05-19,24.78125,25.09375,24.5625,24.875,12.563443,9126200
2000-05-22,24.875,25.15625,24.375,25.125,12.689705,8182800
2000-05-23,25.21875,26.5625,25.125,26.28125,13.273685,14451000
2000-05-24,26.75,28.0625,26.6875,27.96875,14.125978,22449600
2000-05-25,27.5,28.03125,27.25,27.65625,13.968143,14555600
2000-05-26,27.5,27.625,26.9375,27.3125,13.794528,10615400
2000-05-30,27.46875,27.59375,27.15625,27.46875,13.873446,8080400
2000-05-31,27.0625,27.96875,27.0625,27.71875,14.259265,11082200
2000-06-01,27.75,28.875,27.65625,28.40625,14.612937,13747000
2000-06-02,29.96875,30.5,29.625,30.5,15.690019,17988400
2000-06-05,29.625,29.75,29,29.625,15.239893,8917600
2000-06-06,28.6875,28.84375,28.0625,28.375,14.596859,12851000
2000-06-07,28.34375,28.96875,28.0625,28.90625,14.870148,8100200
2000-06-08,28.71875,28.71875,28.3125,28.375,14.596859,6899000
2000-06-09,28.46875,28.71875,27.84375,28,14.403954,6113600
2000-06-12,28,28.375,27.96875,28.234375,14.524517,5211200
2000-06-13,28.21875,28.28125,27.78125,27.84375,14.323567,7555400
2000-06-14,27.84375,28,27.46875,27.65625,14.227111,8988000
2000-06-15,27.78125,27.78125,25.59375,25.96875,13.359023,21273000
2000-06-16,26.09375,26.125,23.25,24,12.346242,34707600
2000-06-19,23.8125,24.65625,23.71875,24.1875,12.442696,20703400
2000-06-20,24.59375,24.8125,24,24.25,12.47485,10214400
2000-06-21,24.1875,24.28125,23.125,23.8125,12.249783,10812200
2000-06-22,23.53125,23.75,23.0625,23.5,12.08903,7421200
2000-06-23,24.25,24.28125,23.625,23.6875,12.185479,9036400
2000-06-26,24.15625,24.375,23.59375,23.96875,12.330171,7527200
2000-06-27,23.5625,23.875,23,23.5,12.08903,14991000
2000-06-28,23.53125,23.5625,22.625,22.710938,11.683114,11504200
2000-06-29,22.6875,23.125,22.5625,22.71875,11.687136,7949600
2000-06-30,22.59375,22.6875,21.492188,21.5,11.060173,14691000
2000-07-03,21.875,22.625,21.8125,22.5,11.574606,5997800
2000-07-05,22.53125,23.125,22.53125,22.65625,11.654979,8936800
2000-07-06,23.03125,23.09375,22.375,22.90625,11.783586,7997600
2000-07-07,23.21875,23.84375,23.0625,23.71875,12.201559,9502000
2000-07-10,23.875,24,23.65625,23.71875,12.201559,6457600
2000-07-11,23.71875,23.84375,23.375,23.46875,12.072953,7978000
2000-07-12,23.75,23.9375,23.34375,23.5,12.08903,7483800
2000-07-13,23.5,23.5625,22.90625,23.09375,11.880041,8234200
2000-07-14,23.21875,23.90625,23.15625,23.75,12.217638,10231200
2000-07-17,23.8125,24.28125,23.375,23.4375,12.056879,12662000
2000-07-18,23.625,23.65625,22.96875,23.125,11.896118,10538600
2000-07-19,23.28125,23.28125,22.875,23.09375,11.880041,8372400
2000-07-20,23.0625,24.25,23.0625,24.1875,12.442696,13491800
2000-07-21,24.1875,24.5625,23.71875,24.375,12.539158,9566600
