Date,Price,Open,High,Low,Change %
2000-03-22,1.1246,1.1145,1.1259,1.1141,0.84%
2000-03-23,1.124,1.1251,1.1298,1.1172,-0.05%
2000-03-24,1.124,1.1226,1.1276,1.1175,0.00%
2000-03-27,1.1215,1.1221,1.1258,1.1099,-0.22%
2000-03-28,1.1176,1.1184,1.1222,1.1133,-0.35%
2000-03-29,1.122,1.117,1.1304,1.115,0.39%
2000-03-30,1.1219,1.123,1.126,1.1173,-0.01%
2000-03-31,1.1359,1.1201,1.1443,1.1188,1.25%
2000-04-03,1.1333,1.136,1.1384,1.1296,-0.23%
2000-04-04,1.1384,1.131,1.1483,1.1285,0.45%
2000-04-05,1.1375,1.1385,1.1425,1.1302,-0.08%
2000-04-06,1.1444,1.1392,1.1491,1.134,0.61%
2000-04-07,1.1457,1.1433,1.1543,1.1402,0.11%
2000-04-10,1.1491,1.1474,1.152,1.1401,0.30%
2000-04-11,1.1469,1.1468,1.1515,1.1387,-0.19%
2000-04-12,1.1441,1.1465,1.149,1.1409,-0.24%
2000-04-13,1.1388,1.1421,1.1455,1.1334,-0.46%
2000-04-14,1.1332,1.1355,1.1404,1.1301,-0.49%
2000-04-17,1.1386,1.1237,1.1457,1.115,0.48%
2000-04-18,1.1355,1.1405,1.1425,1.1259,-0.27%
2000-04-19,1.1379,1.1364,1.1408,1.1283,0.21%
2000-04-20,1.1452,1.1368,1.1462,1.1305,0.64%
2000-04-21,1.1452,1.1444,1.146,1.1356,0.00%
2000-04-24,1.1391,1.1439,1.1459,1.1357,-0.53%
2000-04-25,1.1482,1.1379,1.1491,1.1333,0.80%
2000-04-26,1.1535,1.1469,1.1596,1.1462,0.46%
2000-04-27,1.1533,1.1504,1.1539,1.1426,-0.02%
2000-04-28,1.1565,1.1544,1.164,1.1431,0.28%
2000-05-01,1.1608,1.1542,1.1674,1.1541,0.37%
2000-05-02,1.1506,1.1611,1.1622,1.1448,-0.88%
2000-05-03,1.1304,1.1503,1.1535,1.127,-1.76%
2000-05-04,1.1323,1.1314,1.1415,1.125,0.17%
2000-05-05,1.1242,1.1314,1.1349,1.1212,-0.72%
2000-05-08,1.1545,1.1237,1.1547,1.1228,2.70%
2000-05-09,1.1495,1.1531,1.1634,1.143,-0.43%
2000-05-10,1.1523,1.1467,1.1555,1.1421,0.24%
2000-05-11,1.1564,1.1521,1.1633,1.1443,0.36%
2000-05-12,1.1604,1.1564,1.165,1.1546,0.35%
2000-05-15,1.177,1.1528,1.1773,1.1528,1.43%
2000-05-16,1.1677,1.1752,1.1778,1.1613,-0.79%
2000-05-17,1.1759,1.1685,1.1839,1.1674,0.70%
2000-05-18,1.1665,1.1729,1.1754,1.1597,-0.80%
2000-05-19,1.1642,1.1658,1.1762,1.1571,-0.20%
2000-05-22,1.1676,1.1655,1.1753,1.1576,0.29%
2000-05-23,1.1553,1.1671,1.1687,1.1497,-1.05%
2000-05-24,1.1611,1.1591,1.1656,1.1556,0.50%
2000-05-25,1.1704,1.1579,1.1709,1.1534,0.80%
2000-05-26,1.1595,1.1694,1.1755,1.1546,-0.93%
2000-05-29,1.1646,1.1587,1.1662,1.156,0.44%
2000-05-30,1.154,1.1654,1.1663,1.1464,-0.91%
2000-05-31,1.1671,1.1539,1.1718,1.1477,1.14%
2000-06-01,1.1732,1.166,1.1759,1.1627,0.52%
2000-06-02,1.167,1.1707,1.1785,1.1558,-0.53%
