Date,Price,Open,High,Low,Change %
2000-03-22,0.7079,0.7071,0.711,0.7054,0.34%
2000-03-23,0.7003,0.7076,0.7086,0.6974,-1.07%
2000-03-24,0.7,0.7002,0.7045,0.6978,-0.04%
2000-03-27,0.7097,0.6992,0.7111,0.6978,1.39%
2000-03-28,0.716,0.709,0.7167,0.7072,0.89%
2000-03-29,0.7213,0.7159,0.7254,0.7149,0.74%
2000-03-30,0.7153,0.7214,0.7218,0.7135,-0.83%
2000-03-31,0.7211,0.7148,0.7224,0.7131,0.81%
2000-04-03,0.7223,0.7209,0.7255,0.7172,0.17%
2000-04-04,0.7169,0.7224,0.7247,0.705,-0.75%
2000-04-05,0.7164,0.7158,0.7175,0.7074,-0.07%
2000-04-06,0.7183,0.7172,0.7207,0.7135,0.27%
2000-04-07,0.7181,0.7177,0.7211,0.7132,-0.03%
2000-04-10,0.7103,0.7183,0.7192,0.7097,-1.09%
2000-04-11,0.7126,0.7102,0.7148,0.7061,0.32%
2000-04-12,0.7129,0.7126,0.7185,0.7107,0.04%
2000-04-13,0.7131,0.7125,0.7194,0.7106,0.03%
2000-04-14,0.7037,0.7126,0.7151,0.7032,-1.32%
2000-04-17,0.707,0.7018,0.7076,0.6983,0.47%
2000-04-18,0.714,0.7066,0.7153,0.7061,0.99%
2000-04-19,0.7204,0.7138,0.7251,0.712,0.90%
2000-04-20,0.7226,0.7204,0.7258,0.7185,0.31%
2000-04-21,0.7233,0.7226,0.725,0.7211,0.10%
2000-04-24,0.7217,0.7228,0.7244,0.7165,-0.22%
2000-04-25,0.7397,0.721,0.742,0.7198,2.49%
2000-04-26,0.7343,0.7391,0.7424,0.7318,-0.73%
2000-04-27,0.7441,0.7329,0.7462,0.7302,1.33%
2000-04-28,0.7403,0.7431,0.7508,0.7381,-0.51%
2000-05-01,0.7383,0.7404,0.7455,0.7362,-0.27%
2000-05-02,0.7394,0.7382,0.745,0.736,0.15%
2000-05-03,0.7472,0.7395,0.7562,0.7387,1.05%
2000-05-04,0.7509,0.747,0.7569,0.7454,0.50%
2000-05-05,0.7483,0.7505,0.7512,0.7412,-0.35%
2000-05-08,0.7467,0.7478,0.7526,0.7405,-0.21%
2000-05-09,0.7393,0.7467,0.7493,0.7366,-0.99%
2000-05-10,0.739,0.7379,0.7414,0.732,-0.04%
2000-05-11,0.7455,0.7408,0.748,0.7331,0.88%
2000-05-12,0.7318,0.7451,0.7482,0.73,-1.84%
2000-05-15,0.7377,0.7329,0.7385,0.7297,0.81%
2000-05-16,0.7478,0.7411,0.7485,0.738,1.37%
2000-05-17,0.7462,0.7472,0.7537,0.7438,-0.21%
2000-05-18,0.7455,0.746,0.7492,0.7406,-0.09%
2000-05-19,0.7447,0.745,0.7536,0.7426,-0.11%
2000-05-22,0.7396,0.7434,0.7461,0.7356,-0.68%
2000-05-23,0.7313,0.7394,0.7401,0.7285,-1.12%
2000-05-24,0.7335,0.731,0.7345,0.7256,0.30%
2000-05-25,0.7293,0.7332,0.7366,0.7272,-0.57%
2000-05-26,0.7145,0.7282,0.7308,0.7105,-2.03%
2000-05-29,0.7194,0.7132,0.7212,0.7122,0.69%
2000-05-30,0.7142,0.7192,0.7211,0.7078,-0.72%
2000-05-31,0.7123,0.714,0.7214,0.7112,-0.27%
2000-06-01,0.7201,0.7128,0.7238,0.7118,1.10%
2000-06-02,0.7157,0.7195,0.7214,0.7092,-0.61%
2000-06-05,0.713,0.715,0.7208,0.712,-0.38%
2000-06-06,0.7091,0.7136,0.7174,0.7046,-0.55%
2000-06-07,0.7027,0.7097,0.7117,0.7012,-0.90%
2000-06-08,0.7082,0.7019,0.7115,0.6969,0.78%
2000-06-09,0.7114,0.7084,0.7181,0.7064,0.45%
2000-06-12,0.7106,0.7107,0.7148,0.7083,-0.11%
2000-06-13,0.71,0.7099,0.7108,0.7045,-0.08%
2000-06-14,0.7112,0.7101,0.7119,0.7042,0.17%
2000-06-15,0.7106,0.7111,0.7162,0.7083,-0.08%
2000-06-16,0.707,0.71,0.7138,0.702,-0.51%
2000-06-19,0.7127,0.707,0.7135,0.7018,0.81%
2000-06-20,0.7121,0.7122,0.715,0.7086,-0.08%
2000-06-21,0.7186,0.712,0.7201,0.7115,0.91%
2000-06-22,0.7237,0.7177,0.7254,0.7156,0.71%
2000-06-23,0.7203,0.7229,0.7246,0.7174,-0.47%
2000-06-26,0.7197,0.7201,0.7241,0.7164,-0.08%
2000-06-27,0.7141,0.7193,0.721,0.7121,-0.78%
2000-06-28,0.7183,0.7138,0.7196,0.7114,0.59%
2000-06-29,0.7085,0.7183,0.7194,0.7072,-1.36%
2000-06-30,0.7091,0.7091,0.7102,0.7016,0.08%
2000-07-03,0.7105,0.7098,0.7128,0.7068,0.20%
2000-07-04,0.7075,0.7099,0.7136,0.7068,-0.42%
2000-07-05,0.7044,0.7069,0.7079,0.7007,-0.44%
2000-07-06,0.7082,0.7043,0.7094,0.6985,0.54%
2000-07-07,0.7126,0.7077,0.7137,0.7068,0.62%
2000-07-10,0.708,0.7116,0.7122,0.7068,-0.65%
2000-07-11,0.7096,0.7079,0.7128,0.7065,0.23%
2000-07-12,0.7158,0.7094,0.7194,0.709,0.87%
2000-07-13,0.7201,0.7161,0.7246,0.7154,0.60%
2000-07-14,0.7182,0.7202,0.7232,0.7171,-0.26%
2000-07-17,0.7205,0.7172,0.723,0.7158,0.32%
2000-07-18,0.7329,0.7201,0.734,0.7199,1.72%
2000-07-19,0.7325,0.7319,0.7375,0.7306,-0.05%
2000-07-20,0.7277,0.732,0.7361,0.7255,-0.66%
2000-07-21,0.7258,0.7272,0.7296,0.7239,-0.26%
2000-07-24,0.731,0.7252,0.7337,0.7244,0.72%
2000-07-25,0.7268,0.7304,0.7323,0.722,-0.57%
2000-07-26,0.7237,0.7267,0.7274,0.7203,-0.43%
2000-07-27,0.7289,0.7231,0.7295,0.7217,0.72%
2000-07-28,0.733,0.7283,0.7349,0.7268,0.56%
2000-07-31,0.7264,0.7317,0.7335,0.7232,-0.90%
2000-08-01,0.7354,0.725,0.7368,0.7227,1.24%
2000-08-02,0.7404,0.7349,0.7407,0.7322,0.68%
2000-08-03,0.7428,0.7392,0.7501,0.7354,0.32%
