Date,Price,Open,High,Low,Change %
2000-03-22,0.4312,0.4327,0.4362,0.43,-0.30%
2000-03-23,0.4286,0.4304,0.4319,0.426,-0.60%
2000-03-24,0.4291,0.4286,0.4302,0.4279,0.12%
2000-03-27,0.4321,0.4287,0.4329,0.427,0.70%
2000-03-28,0.4331,0.4318,0.4338,0.4313,0.23%
2000-03-29,0.4311,0.4326,0.4348,0.4293,-0.46%
2000-03-30,0.4308,0.4304,0.4319,0.4295,-0.07%
2000-03-31,0.4335,0.4308,0.4335,0.4295,0.63%
2000-04-03,0.4318,0.4335,0.4345,0.4298,-0.39%
2000-04-04,0.4322,0.4317,0.4326,0.4276,0.09%
2000-04-05,0.4353,0.432,0.4358,0.43,0.72%
2000-04-06,0.4355,0.4348,0.4366,0.4331,0.05%
2000-04-07,0.4342,0.4353,0.4361,0.4328,-0.30%
2000-04-10,0.4313,0.4341,0.4345,0.4309,-0.67%
2000-04-11,0.431,0.4311,0.4322,0.4289,-0.07%
2000-04-12,0.4304,0.4306,0.4321,0.4295,-0.14%
2000-04-13,0.4281,0.4301,0.4318,0.4272,-0.53%
2000-04-14,0.4264,0.428,0.4298,0.4259,-0.40%
2000-04-17,0.4261,0.4265,0.4271,0.4234,-0.07%
2000-04-18,0.4282,0.4258,0.4284,0.424,0.49%
2000-04-19,0.4284,0.4279,0.4303,0.4264,0.05%
2000-04-20,0.4294,0.4281,0.4304,0.428,0.23%
2000-04-21,0.4303,0.429,0.4303,0.4283,0.21%
2000-04-24,0.4287,0.4301,0.4308,0.428,-0.37%
2000-04-25,0.4307,0.4285,0.4314,0.4275,0.47%
2000-04-26,0.43,0.4306,0.4325,0.4282,-0.16%
2000-04-27,0.4306,0.4299,0.4312,0.4262,0.14%
2000-04-28,0.4351,0.4302,0.4358,0.4295,1.05%
2000-05-01,0.4352,0.4349,0.4359,0.4326,0.02%
2000-05-02,0.4313,0.4351,0.4355,0.4302,-0.90%
2000-05-03,0.4287,0.4311,0.4317,0.428,-0.60%
2000-05-04,0.4336,0.4284,0.4364,0.4282,1.14%
2000-05-05,0.4385,0.4335,0.4397,0.4326,1.13%
