Date,Price,Open,High,Low,Change %
2000-03-22,72.84,72.6,72.97,72.4,0.22%
2000-03-23,73.06,72.8,73.25,72.6,0.30%
2000-03-24,73.08,72.97,73.34,72.65,0.03%
2000-03-27,73.23,73.03,73.41,72.86,0.21%
2000-03-28,72.79,73.21,73.27,72.66,-0.60%
2000-03-29,72.58,72.75,73.13,72.04,-0.29%
2000-03-30,72.45,72.55,72.69,71.82,-0.18%
2000-03-31,70.94,72.47,72.9,70.18,-2.08%
2000-04-03,72.3,71.23,72.88,70.89,1.92%
2000-04-04,72.45,72.29,72.94,71.6,0.21%
2000-04-05,72.33,72.41,72.65,71.93,-0.17%
2000-04-06,72.1,72.25,72.45,71.99,-0.32%
2000-04-07,72.22,72.06,72.57,71.99,0.17%
2000-04-10,72.77,72.3,73.26,72.15,0.76%
2000-04-11,73.07,72.79,73.28,72.53,0.41%
2000-04-12,72.31,73.04,73.1,71.77,-1.04%
2000-04-13,71.89,72.29,72.61,71.77,-0.58%
2000-04-14,70.96,71.9,72.2,70.88,-1.29%
2000-04-17,70.39,70.54,71.44,69.73,-0.80%
2000-04-18,70.71,70.34,70.76,69.85,0.45%
2000-04-19,71.02,70.62,71.33,70.43,0.44%
2000-04-20,71.7,71.04,71.85,70.77,0.96%
2000-04-21,71.78,71.66,71.87,71.48,0.11%
2000-04-24,71.62,71.75,71.95,71.12,-0.22%
2000-04-25,72.44,71.52,72.45,71.19,1.14%
2000-04-26,72.05,72.36,72.55,71.81,-0.54%
2000-04-27,72.04,72,72.23,71.4,-0.01%
2000-04-28,73.05,72.01,73.12,71.94,1.40%
2000-05-01,73.53,72.82,73.75,72.64,0.66%
2000-05-02,72.96,73.52,73.81,72.85,-0.78%
2000-05-03,73,72.97,73.63,72.86,0.05%
2000-05-04,72.28,73.03,73.43,71.86,-0.99%
2000-05-05,72.86,72.2,72.89,71.65,0.80%
2000-05-08,73.05,72.88,73.25,72.57,0.26%
2000-05-09,73.31,72.96,73.42,72.67,0.36%
2000-05-10,73.35,73.25,73.56,72.67,0.05%
2000-05-11,72.93,73.32,73.62,72.27,-0.57%
2000-05-12,72.94,72.86,73.36,72.34,0.01%
2000-05-15,73.53,73.07,73.72,72.93,0.81%
2000-05-16,73.84,73.41,74,73.11,0.42%
2000-05-17,73.01,73.8,73.94,72.81,-1.12%
2000-05-18,72.47,72.92,73.01,72.08,-0.74%
2000-05-19,71.5,72.3,72.61,71.1,-1.34%
2000-05-22,71.52,71.52,71.83,71.24,0.03%
2000-05-23,70.65,71.51,71.65,70.52,-1.22%
2000-05-24,71.41,70.59,71.5,70.51,1.08%
2000-05-25,71.43,71.32,71.59,70.93,0.03%
2000-05-26,71.29,71.38,71.77,70.82,-0.20%
2000-05-29,71.34,71.17,71.64,70.96,0.07%
2000-05-30,70.75,71.32,71.38,70.5,-0.83%
2000-05-31,71.93,70.72,72.09,70.5,1.67%
2000-06-01,72.78,71.88,73.07,71.86,1.18%
2000-06-02,73.18,72.78,73.36,72.5,0.55%
2000-06-05,72.53,73.12,73.28,72.48,-0.89%
2000-06-06,71.64,72.51,72.83,71.16,-1.23%
2000-06-07,71.19,71.62,71.96,71.14,-0.63%
2000-06-08,71.81,71.2,71.91,71.19,0.87%
2000-06-09,72.49,71.63,72.73,71.6,0.95%
2000-06-12,72.38,72.36,72.69,72.08,-0.15%
2000-06-13,72.81,72.35,72.86,72.06,0.59%
2000-06-14,72.63,72.78,72.92,72.24,-0.25%
2000-06-15,72.21,72.59,72.68,71.88,-0.58%
2000-06-16,72.59,72.13,72.63,71.82,0.53%
2000-06-19,72.21,72.51,72.63,71.88,-0.52%
2000-06-20,71.77,72.13,72.2,71.46,-0.61%
2000-06-21,71.64,71.66,71.8,71.34,-0.18%
2000-06-22,70.86,71.56,71.69,70.47,-1.09%
2000-06-23,70.64,70.79,71.06,70.31,-0.31%
2000-06-26,71.25,70.54,71.37,70.11,0.86%
2000-06-27,71.14,71.18,71.45,70.97,-0.15%
2000-06-28,71.45,71.06,71.46,70.95,0.44%
2000-06-29,71,71.37,71.42,70.53,-0.63%
2000-06-30,71.67,70.97,71.86,70.63,0.94%
2000-07-03,71.37,71.68,71.98,71.26,-0.42%
2000-07-04,71.45,71.31,71.91,71.05,0.11%
2000-07-05,71.82,71.37,72.1,71.16,0.52%
2000-07-06,72.36,71.79,72.45,71.66,0.75%
2000-07-07,72.91,72.3,72.92,72.11,0.76%
2000-07-10,72.39,72.79,72.88,71.89,-0.71%
2000-07-11,72.37,72.34,72.47,72.11,-0.03%
2000-07-12,72.92,72.34,73.37,72.26,0.76%
2000-07-13,72.97,72.85,73.2,72.08,0.07%
2000-07-14,72.68,72.93,73.23,72.45,-0.40%
2000-07-17,72.92,72.58,73.43,72.25,0.33%
2000-07-18,73.26,72.82,73.47,72.64,0.47%
2000-07-19,73.33,73.23,73.51,73.03,0.10%
2000-07-20,73.12,73.26,73.42,72.73,-0.29%
2000-07-21,74.07,72.99,74.22,72.88,1.30%
2000-07-24,74.26,73.89,74.44,73.66,0.26%
2000-07-25,74.39,74.19,74.63,74.03,0.18%
2000-07-26,74.53,74.34,74.61,74.14,0.19%
2000-07-27,74.15,74.45,74.62,74.01,-0.51%
2000-07-28,74.13,74.09,74.37,73.67,-0.03%
2000-07-31,73.62,74.1,74.3,73.41,-0.69%
2000-08-01,73.47,73.5,73.87,73.13,-0.20%
2000-08-02,73.63,73.47,73.76,72.75,0.22%
2000-08-03,72.98,73.54,73.72,72.7,-0.88%
2000-08-04,72.94,72.92,73.21,72.67,-0.05%
2000-08-07,73.39,72.84,73.41,72.69,0.62%
2000-08-08,73.05,73.31,73.5,72.78,-0.46%
2000-08-09,72.7,72.95,73.1,72.29,-0.48%
2000-08-10,73.31,72.7,73.52,72.42,0.84%
2000-08-11,73.12,73.24,73.49,72.92,-0.26%
2000-08-14,73.67,73.17,73.89,73.13,0.75%
2000-08-15,73.45,73.59,73.84,73.15,-0.30%
2000-08-16,73.46,73.39,73.74,73.08,0.01%
2000-08-17,73.61,73.38,73.7,73.22,0.20%
2000-08-18,73.41,73.55,74.04,73.24,-0.27%
2000-08-21,73.56,73.31,73.7,73,0.20%
2000-08-22,73.36,73.52,73.58,73.15,-0.27%
2000-08-23,71.96,73.3,73.38,71.77,-1.91%
2000-08-24,71.84,71.99,72.3,71.71,-0.17%
2000-08-25,72.05,71.81,72.34,71.69,0.29%
2000-08-28,71.83,71.88,71.96,71.42,-0.31%
2000-08-29,71.41,71.79,72,71.24,-0.58%
2000-08-30,72.12,71.45,72.19,71.3,0.99%
2000-08-31,72.43,72.04,72.58,71.92,0.43%
2000-09-01,71.93,72.49,72.54,71.61,-0.69%
2000-09-04,71.79,71.84,71.99,71.58,-0.19%
2000-09-05,71.67,71.79,72.31,71.59,-0.17%
2000-09-06,71.45,71.64,71.81,71.16,-0.31%
2000-09-07,71.19,71.42,71.89,70.65,-0.36%
2000-09-08,71.84,71.16,71.92,71.06,0.91%
2000-09-11,71.62,71.8,72.17,71.53,-0.31%
2000-09-12,72.16,71.66,72.4,71.58,0.75%
2000-09-13,72.23,72.1,72.66,72.04,0.10%
2000-09-14,72.39,72.14,72.44,71.7,0.22%
2000-09-15,72.25,72.31,72.48,72.04,-0.19%
2000-09-18,71.87,72.2,72.32,71.62,-0.53%
2000-09-19,72.14,71.82,72.18,71.64,0.38%
2000-09-20,71.79,72.09,72.41,71.67,-0.49%
2000-09-21,71.69,71.78,72.02,71.46,-0.14%
2000-09-22,72.5,71.62,72.61,71.34,1.13%
2000-09-25,72.54,72.46,72.68,72,0.06%
2000-09-26,72.38,72.47,72.52,72,-0.22%
2000-09-27,71.78,72.32,72.53,71.56,-0.83%
2000-09-28,71.75,71.71,71.98,71.42,-0.04%
2000-09-29,71.87,71.73,72.12,71.43,0.17%
2000-10-02,72.14,71.85,72.38,71.73,0.38%
2000-10-03,72.38,72.03,72.46,71.8,0.33%
2000-10-04,73.15,72.32,73.26,72.1,1.06%
2000-10-05,72.82,73.06,73.28,72.75,-0.45%
2000-10-06,72.38,72.81,73.01,72.25,-0.60%
