Date,Open,High,Low,Close,Adj Close,Volume
2000-03-22,23.575001,24.549999,23.275,24.325001,10.150695,3513600
2000-03-23,24.424999,25.25,24.275,25.125,10.484529,2815000
2000-03-24,25.424999,26.174999,25.299999,25.674999,10.714039,3042400
2000-03-27,25.950001,26.125,24.700001,24.924999,10.40107,1958200
2000-03-28,24.75,25,24.549999,24.875,10.380211,1245200
2000-03-29,24.799999,25.15,24.700001,25,10.432368,1558200
2000-03-30,25,25.875,24.9,25.4,10.599283,1863200
2000-03-31,25.549999,25.85,25.075001,25.5,10.641015,2303000
2000-04-03,25.700001,26.5,25.625,26.5,11.058307,2745400
2000-04-04,26.625,27.375,26.075001,26.799999,11.183491,4425000
2000-04-05,26.424999,27.125,26.375,26.674999,11.13134,2609200
2000-04-06,26.5,26.674999,26.075001,26.625,11.110476,1318600
2000-04-07,26.4,26.525,25.424999,25.424999,10.609717,1617200
2000-04-10,25.6,25.924999,25.424999,25.875,10.797502,2123400
2000-04-11,26,26.725,25.950001,26.674999,11.13134,2365200
2000-04-12,26.799999,28.4,26.799999,27.700001,11.559061,3280200
2000-04-13,27.799999,28.4,27.799999,27.924999,11.652955,2770800
2000-04-14,27.25,27.625,25.924999,26,10.849665,2036600
2000-04-17,25.5,26.625,25.5,26.450001,11.037443,2162200
2000-04-18,26.85,26.85,26.049999,26.15,10.912255,2268000
2000-04-19,26.125,26.625,26.075001,26.5,11.058307,1684400
2000-04-20,26.25,26.9,26.25,26.65,11.120903,1085800
2000-04-21,null,null,null,null,null,null
2000-04-24,26.450001,26.625,26.200001,26.575001,11.089606,535200
2000-04-25,26.65,27.225,26.575001,27.1,11.308686,876200
2000-04-26,27.174999,27.174999,26.5,26.924999,11.235658,2460200
2000-04-27,26.525,27.25,26.450001,27.15,11.32955,897400
2000-04-28,27.424999,27.475,26.875,26.875,11.2148,1122600
2000-05-01,26.950001,27,26.674999,26.85,11.204359,1205800
2000-05-02,26.775,27.875,26.75,27.5,11.475603,1835600
2000-05-03,27.475,27.5,27.15,27.5,11.688113,1786600
2000-05-04,27.4,27.6,27.299999,27.299999,11.60311,2079200
2000-05-05,26.9,27.125,26.85,26.875,11.422482,1119000
2000-05-08,26.825001,27.075001,26.625,26.625,11.316223,835400
2000-05-09,26.75,27.6,26.75,27.6,11.730618,1774800
2000-05-10,27.5,27.775,27.325001,27.375,11.634984,1236800
2000-05-11,27.5,27.5,27.075001,27.200001,11.560611,512400
2000-05-12,27.299999,27.35,26.725,26.875,11.422482,479000
2000-05-15,27,28.075001,26.975,27.975,11.889997,1468600
2000-05-16,28.125,28.325001,27.65,28.1,11.943126,2214400
2000-05-17,27.700001,28.825001,27.700001,28.799999,12.240643,957800
2000-05-18,28.625,29.549999,28.6,29.125,12.378773,1569000
