Date,Open,High,Low,Close,Adj Close,Volume
2000-03-22,11.25,11.25,10.9375,11,3.39089,196800
2000-03-23,10.9375,11.1875,10.9375,11.1875,3.448689,137200
2000-03-24,11.1875,11.25,11,11.25,3.467957,329100
2000-03-27,11.125,11.125,10.9375,10.9375,3.371625,127900
2000-03-28,11.125,11.1875,10.9375,11.0625,3.410157,326700
2000-03-29,11.125,11.1875,10.6875,10.8125,3.33309,130400
2000-03-30,10.75,10.8125,10.6875,10.6875,3.294557,116100
2000-03-31,10.6875,10.8125,10.4375,10.75,3.313825,233100
2000-04-03,10.6875,10.9375,10.625,10.6875,3.294557,203800
2000-04-04,11,11,10.0625,10.859375,3.34754,219500
2000-04-05,10.6875,11,10.6875,10.75,3.313825,152400
2000-04-06,10.625,10.6875,10.375,10.625,3.27529,445600
2000-04-07,10.5,10.75,10.5,10.6875,3.294557,268200
2000-04-10,10.625,10.75,10.4375,10.4375,3.217493,188200
2000-04-11,10.5625,10.71875,10.5,10.5,3.236759,260500
2000-04-12,10.625,10.8125,10.5625,10.6875,3.294557,364700
2000-04-13,10.875,10.875,10.6875,10.75,3.313825,139100
2000-04-14,10.96875,10.96875,10,10.0625,3.101893,227600
2000-04-17,10.25,10.625,10.25,10.4375,3.217493,305800
2000-04-18,10.3125,10.5625,10.3125,10.375,3.198225,271700
2000-04-19,10.3125,10.375,10.0625,10.125,3.121161,149200
2000-04-20,10.25,10.5,10.125,10.25,3.159693,286300
2000-04-24,10.125,10.3125,10.125,10.3125,3.178961,253800
2000-04-25,10.375,10.5,10.25,10.4375,3.217493,228100
2000-04-26,10.375,10.5,10.125,10.3125,3.197124,236900
2000-04-27,10.0625,10.3125,10.0625,10.125,3.138994,53800
2000-04-28,10.1875,10.875,10.125,10.875,3.371512,144400
2000-05-01,10.75,10.75,10.3125,10.75,3.332759,119000
2000-05-02,10.625,10.625,10.25,10.4375,3.235877,141100
2000-05-03,10.3125,10.3125,9.9375,10,3.100241,198000
2000-05-04,10.125,10.125,9.9375,10,3.100241,171500
2000-05-05,10.0625,10.0625,9.8125,9.9375,3.080865,84100
2000-05-08,10,10,9.8125,9.875,3.061488,146000
2000-05-09,10,10,9.625,9.6875,3.003359,215200
2000-05-10,9.75,9.75,9.3125,9.5,2.94523,156400
2000-05-11,9.625,10,9.5,9.75,3.022735,279400
2000-05-12,9.875,9.875,9.75,9.8125,3.042113,253400
2000-05-15,9.6875,9.875,9.625,9.8125,3.042113,286000
2000-05-16,9.875,9.875,9.5,9.6875,3.003359,141500
2000-05-17,9.5,9.5,9.125,9.125,2.82897,136100
2000-05-18,9.25,9.5,9.125,9.5,2.94523,156100
2000-05-19,9.125,9.5,9.0625,9.25,2.867724,359400
2000-05-22,9.375,9.4375,9.0625,9.0625,2.809593,61100
2000-05-23,9.0625,9.25,8.875,9.1875,2.848346,241200
2000-05-24,9.125,9.25,9.0625,9.0625,2.809593,240400
2000-05-25,9.25,9.4375,9.25,9.4375,2.925854,249700
2000-05-26,9.375,9.5625,9.375,9.5,2.94523,60000
2000-05-30,9.625,10,9.5625,10,3.100241,112800
2000-05-31,9.8125,9.8125,9.625,9.75,3.022735,103100
2000-06-01,9.875,10.0625,9.875,10.0625,3.119618,263200
2000-06-02,10.25,10.4375,10.1875,10.4375,3.235877,203000
2000-06-05,10.3125,10.3125,10.125,10.25,3.177747,168700
2000-06-06,10.0625,10.1875,9.875,10.125,3.138994,78300
2000-06-07,10.1875,10.25,10.0625,10.25,3.177747,137600
2000-06-08,10.375,10.5,10.1875,10.375,3.216499,179500
2000-06-09,10.25,10.3125,10,10.25,3.177747,121000
2000-06-12,9.9375,10.125,9.8125,10,3.100241,69700
2000-06-13,10.125,10.25,10.0625,10.1875,3.15837,154300
2000-06-14,10.25,10.25,10.125,10.1875,3.15837,82900
2000-06-15,10.0625,10.1875,10,10.1875,3.15837,251900
2000-06-16,10.1875,10.4375,10.1875,10.375,3.216499,253400
2000-06-19,10.25,10.4375,10.0625,10.4375,3.235877,138400
2000-06-20,10.375,10.375,10,10.125,3.138994,90400
2000-06-21,10.0625,10.1875,9.875,10.1875,3.15837,90700
2000-06-22,10.1875,10.1875,9.9375,10.0625,3.119618,103100
2000-06-23,10.0625,10.125,9.875,10.125,3.138994,48600
2000-06-26,10.0625,10.125,9.9375,10.125,3.138994,130200
2000-06-27,10.125,10.25,10.0625,10.25,3.177747,200700
2000-06-28,10.25,10.25,10.125,10.1875,3.15837,100200
2000-06-29,10.1875,10.25,10.0625,10.1875,3.15837,84900
2000-06-30,10.25,10.375,10.25,10.375,3.216499,169800
2000-07-03,10.375,10.5,10.125,10.5,3.255253,42700
2000-07-05,10.5625,10.625,10.3125,10.4375,3.235877,114100
2000-07-06,10.5,10.6875,10.5,10.625,3.294006,155800
2000-07-07,10.5625,10.6875,10.5625,10.6875,3.313383,369200
2000-07-10,10.6875,10.875,10.6875,10.875,3.371512,286100
2000-07-11,10.625,10.8125,10.625,10.75,3.332759,717300
2000-07-12,10.625,10.6875,10.3125,10.5625,3.27463,408000
2000-07-13,10.375,10.5,10.3125,10.4375,3.235877,853600
2000-07-14,10.4375,10.5,10.375,10.4375,3.235877,246900
2000-07-17,10.3125,10.4375,10.25,10.375,3.216499,222500
2000-07-18,10.4375,10.5625,10.3125,10.375,3.216499,217800
2000-07-19,10.3125,10.5,10.25,10.375,3.216499,109600
2000-07-20,10.25,10.625,10.25,10.375,3.216499,146900
2000-07-21,10.3125,10.5,10.25,10.375,3.216499,87000
2000-07-24,10.3125,10.5,10.3125,10.5,3.255253,102700
2000-07-25,10.5,10.625,10.3125,10.5625,3.27463,110300
2000-07-26,10.5,10.6875,10.375,10.4375,3.235877,271200
2000-07-27,10.375,10.5625,10.3125,10.5625,3.27463,118500
2000-07-28,10.375,10.375,10.125,10.1875,3.15837,118200
2000-07-31,10.125,10.5,10.0625,10.5,3.255253,177900
2000-08-01,10.3125,10.375,10.125,10.125,3.152837,98000
2000-08-02,10.25,10.25,10.0625,10.25,3.191759,213000
2000-08-03,10.125,10.25,10.0625,10.1875,3.172299,156800
2000-08-04,10.25,10.4375,10.125,10.3125,3.211223,241700
2000-08-07,10.1875,10.625,10.1875,10.625,3.308532,153100
2000-08-08,10.5,10.625,10.25,10.5,3.269607,80400
