Date,Open,High,Low,Close,Adj Close,Volume
2000-03-22,18.6,19.125,18.525,18.85,5.941938,6499800
2000-03-23,18.875,19.625,18.700001,19.200001,6.052266,5707400
2000-03-24,19.424999,19.625,19.125,19.450001,6.131073,3436000
2000-03-27,19.75,19.950001,18.924999,18.950001,5.973463,5675400
2000-03-28,18.950001,19.25,18.775,19.075001,6.012863,3632200
2000-03-29,19.1,19.475,19.049999,19.450001,6.131073,4133400
2000-03-30,19.5,20.025,19.5,19.65,6.194118,7009000
2000-03-31,19.725,19.799999,19.049999,19.200001,6.052266,3393000
2000-04-03,19.25,19.85,18.75,18.875,5.949821,5091800
2000-04-04,19.35,19.35,17.525,18.075001,5.697645,10457200
2000-04-05,17.775,18,17.375,17.549999,5.532152,7987800
2000-04-06,17.75,17.875,17.424999,17.450001,5.500629,4302400
2000-04-07,17.75,17.75,17.475,17.5,5.516389,4645200
2000-04-10,17.75,17.975,17.6,17.674999,5.571551,5106800
2000-04-11,17.725,17.950001,17.65,17.9,5.642477,5189800
2000-04-12,18.049999,18.875,17.950001,18.450001,5.81585,6859600
2000-04-13,18.575001,18.825001,18.35,18.799999,5.92618,4164800
2000-04-14,18.35,18.65,17.549999,17.75,5.595197,5135000
2000-04-17,17.5,17.9,17.125,17.9,5.642477,5815400
2000-04-18,18,18,17.5,17.6,5.547912,7742600
2000-04-19,17.6,17.625,17.1,17.1,5.390301,5292000
2000-04-20,17.25,17.549999,17.200001,17.5,5.516389,2924400
2000-04-21,null,null,null,null,null,null
2000-04-24,17.25,17.4,17.15,17.275,5.445466,2686000
2000-04-25,17.5,17.5,17.275,17.35,5.469108,2236200
2000-04-26,17.475,17.5,17,17.025,5.366659,5621200
2000-04-27,16.9,17.200001,16.799999,17.075001,5.38242,4568200
2000-04-28,17.25,17.25,17.075001,17.125,5.39818,2842000
2000-05-01,17.35,17.375,17.1,17.325001,5.461226,3042600
2000-05-02,17.35,17.950001,17.325001,17.9,5.642477,4792600
2000-05-03,17.9,18.225,17.700001,18.225,5.744928,6375400
2000-05-04,18.075001,18.299999,17.799999,18.275,5.760684,3892400
2000-05-05,17.9,18.475,17.875,18.424999,5.80797,3035400
2000-05-08,18.125,18.65,18.125,18.4,5.80009,3076000
2000-05-09,18.299999,18.950001,18.299999,18.799999,5.92618,4392400
2000-05-10,18.625,18.950001,18.15,18.174999,5.729162,3084000
2000-05-11,18.35,18.375,18.025,18.075001,5.697645,2091600
2000-05-12,18.125,18.325001,17.924999,17.924999,5.65036,3480800
2000-05-15,17.9,18.825001,17.9,18.6,5.863134,3250200
2000-05-16,18.700001,18.875,18.275,18.424999,5.80797,2833200
2000-05-17,18.424999,18.85,18.174999,18.575001,5.855254,3129400
2000-05-18,18.85,18.875,18.325001,18.625,5.871017,2760400
2000-05-19,18.625,18.65,18.325001,18.4,5.80009,2957200
2000-05-22,null,null,null,null,null,null
2000-05-23,18.4,18.424999,17.9,17.975,5.66612,3386400
2000-05-24,18,18.299999,17.924999,18.25,5.752808,3547200
2000-05-25,18.299999,18.4,18,18,5.674001,4588400
2000-05-26,18.025,18.200001,17.775,18.025,5.681882,2191600
2000-05-29,18.200001,18.299999,18.15,18.225,5.744928,1080600
2000-05-30,18.4,18.525,18.200001,18.375,5.79221,3472000
2000-05-31,18.375,18.75,18.35,18.75,5.910418,2908800
2000-06-01,18.549999,19,18.5,18.975,5.981344,2817400
2000-06-02,19.174999,19.625,19.174999,19.450001,6.131073,6957400
2000-06-05,19.424999,19.450001,19.025,19.1,6.020747,2447200
2000-06-06,19,19,18.549999,18.6,5.863134,2788000
2000-06-07,18.549999,18.85,18.450001,18.6,5.863134,2226200
2000-06-08,18.674999,18.975,18.525,18.85,5.941938,1505800
2000-06-09,19,19.200001,18.924999,19.075001,6.012863,1902800
2000-06-12,19.25,19.25,18.725,19.025,5.997104,2030600
2000-06-13,19,19,18.299999,18.299999,5.845379,3226000
2000-06-14,18.475,18.700001,18.35,18.700001,5.973147,2874000
2000-06-15,18.75,18.75,18.299999,18.424999,5.885306,3131600
2000-06-16,18.35,18.424999,17.875,17.875,5.709627,3745600
2000-06-19,18,18.725,17.975,18.725,5.981133,2013600
2000-06-20,18.775,18.799999,18.275,18.674999,5.965161,1732400
2000-06-21,18.5,18.575001,18.325001,18.375,5.869337,3521600
2000-06-22,18.4,18.75,18.299999,18.575001,5.93322,3614800
2000-06-23,18.525,19,18.525,18.85,6.02106,3347200
2000-06-26,18.875,18.950001,18.625,18.700001,5.973147,1519400
2000-06-27,18.700001,18.924999,18.5,18.5,5.909265,2065800
2000-06-28,18.450001,18.575001,18.35,18.424999,5.885306,2964800
2000-06-29,18.275,18.375,18,18.025,5.75754,2593400
2000-06-30,18.075001,18.299999,18,18,5.749552,2126400
2000-07-03,null,null,null,null,null,null
2000-07-04,18.375,18.375,18.075001,18.1,5.781495,1011200
2000-07-05,18.15,18.299999,18.075001,18.25,5.829409,2415200
2000-07-06,18.25,18.25,17.975,17.975,5.741568,1997200
2000-07-07,17.975,18,17.5,17.85,5.701641,5718600
2000-07-10,17.85,18,17.65,17.65,5.637757,3344400
2000-07-11,17.725,17.825001,17.549999,17.6,5.621786,5717200
2000-07-12,17.700001,17.9,17.625,17.9,5.717609,3287200
2000-07-13,17.950001,17.950001,17.674999,17.700001,5.653728,2572800
2000-07-14,17.799999,17.85,17.450001,17.625,5.629772,2626600
2000-07-17,17.674999,17.799999,17.65,17.775,5.677685,2145000
2000-07-18,17.75,17.775,17.475,17.575001,5.613802,2830600
2000-07-19,17.575001,17.75,17.525,17.575001,5.613802,2357200
2000-07-20,17.6,17.6,17.375,17.450001,5.573873,4984800
2000-07-21,17.475,17.575001,17.375,17.525,5.597828,1540800
2000-07-24,17.575001,18,17.525,17.9,5.717609,3050800
2000-07-25,17.924999,18.049999,17.9,18,5.749552,3143600
2000-07-26,18.049999,18.174999,17.924999,18,5.749552,3195800
2000-07-27,17.950001,18.299999,17.85,18.025,5.75754,2740800
2000-07-28,18.025,18.075001,17.450001,17.5,5.589843,3213200
2000-07-31,17.625,17.775,17.549999,17.674999,5.645741,2686600
2000-08-01,17.75,17.825001,17.674999,17.725,5.661714,3431000
2000-08-02,17.725,17.950001,17.674999,17.875,5.709627,1972400
2000-08-03,17.700001,17.975,17.700001,17.85,5.701641,2084000
2000-08-04,17.875,17.975,17.825001,17.85,5.701641,1348000
2000-08-07,null,null,null,null,null,null
2000-08-08,17.85,18,17.775,17.875,5.709627,2169800
2000-08-09,17.875,17.975,17.825001,17.85,5.701641,1497400
2000-08-10,17.950001,17.950001,17.775,17.799999,5.685669,1325200
2000-08-11,17.775,18.200001,17.75,18.174999,5.805449,2280800
2000-08-14,18.174999,18.875,18.025,18.875,6.029046,4663400
2000-08-15,18.85,18.875,18.625,18.725,5.981133,3313800
2000-08-16,18.799999,19.299999,18.725,19.25,6.148828,5767600
